"","OMP_V_BA","Msmu_V_BA","PTB1_V_NB","OGB_V_BA","TBT_V_BA","GB_V_NB","PMT_V_NB","MOG_V_BA","MTM_V_BA","BNG_V_BA","PMV_V_NB","GN_V_NB","PO_V_NB","BGB_V_BA","MBT_V_BA","BG_V_BA","OTP_V_BA","PON_V_NB","TVN_V_BA","PVN_V_NB","GMG_V_NB","Ncrest_NB","GPO_V_NB","GNT_V_NB","GMP_V_NB","GV_V_NB","NOB_V_MA","POB_V_NB","TOP_V_BA","PTP_V_NB","BOB_V_BA","ONG_V_BA","TMP_V_BA","BTV_V_BA","GT_V_NB","BTG_V_BA","TNG_V_BA","OMN_V_BA","X115","OMG_V_BA","POG_V_NB","BOG_V_BA","PGO_V_NB","PN_V_NB","GNP_V_NB","TB_V_BA","MTP_V_BA","GM_V_NB","PVT_V_NB","PVT_H_CG","PTV_H_CG","OPG_V_BA","GTG_V_NB","BMP_V_BA","TNP_V_BA","VPO_V_NB","NOT_V_MA","PTG_V_NB","BGVN_V_BA","OMT_V_BA","GBN_V_NB","GNV_V_NB","PVG_V_NB","PTN_V_NB","PVO_V_NB","OB_V_BA","MGM_V_BA","OVG_V_BA","GP_V_NB","VPT_V_BA","TPT_V_BA","GBO_V_NB","PT_V_NB"
"OMP_V_BA",0.5,0,0,0,0,0,0,0.011567349,0,0.119292629,0,0,0,0,0,0.13727845,0,0,0,0,0,0,0,0,0,0,0,0.056642182,0,0.003347093,0,0,0,0,0,0,0,0.035569928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007967502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002258721,0,0,0,0,0
"Msmu_V_BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTB1_V_NB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OGB_V_BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBT_V_BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GB_V_NB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMT_V_NB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOG_V_BA",0.011567349,0,0,0,0,0,0,0.5,0,0.004633677,0,0,0,0,0,0.003484707,0,0,0,0,0,0,0,0,0.005283005,0,0,0,0,0,0,0,0,0.001448718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001089996,0,0,0,0,0,0,0.00862278,0,0,0.005697432,0,0,0,0,0,0,0.009956148,0,0,0,0,0,0
"MTM_V_BA",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.001823856,0,0,0,0,0,0,0,0,0,0,0.004413774,0,0,0,0,0.00120081,0,0,0,0.00840836,0,0.021630222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002686856,0,0,0,0.003169843,0,0.008229839,0,0,0,0.002750346,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNG_V_BA",0.119292629,0,0,0,0,0,0,0.004633677,0,0.5,0,0,0,0,0,0.257946425,0.006292722,0,0,0,0,0,0,0,0,0,0,0.028927351,0,0.000868557,0,0,0,0,0,0,0,0.013402689,0,0.003731673,0,0,0,0,0,0,0,0,0,0,0.001897379,0,0,0.005523525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007443565,0,0,0
"PMV_V_NB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
